,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,900.0,1017.0,1.7297753311960211,2,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.7967628743120091,brightness,28.44571999626007,contrast,0.900373863102708,0,3_7_sharpness0.8_brightness28.0_contrast0.9.jpg,3,7,0.9,0.0,0.8,28.0,0.0
1,1200.0,1335.0,3.376478120052691,3,pictures\transformed\roomBright_figureDark\P.JPG,sharpness,0.1266179900991141,gamma,0.5617080713073137,None,None,1,4_P_sharpness0.13_gamma0.56.jpg,4,P,0.0,0.56,0.13,0.0,0.0
2,2100.0,2276.0,3.9209876500747147,6,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.7015210690082017,contrast,1.054515268200338,equalization,12.11760784078135,0,7_9_sharpness0.7_contrast1.1_equalization12.0.jpg,7,9,1.1,0.0,0.7,0.0,12.0
3,3600.0,3732.0,3.085186581129992,11,pictures\transformed\roomBright_figureDark\3.JPG,sharpness,0.7938318015676875,gamma,1.01348022351156,None,None,2,12_3_sharpness0.79_gamma1.0.jpg,12,3,0.0,1.0,0.79,0.0,0.0
4,3900.0,4049.0,3.646850476133401,12,pictures\transformed\roomBright_figureDark\P.JPG,gamma,0.743330383820055,contrast,0.9080350096398532,None,None,1,13_P_gamma0.74_contrast0.91.jpg,13,P,0.91,0.74,0.0,0.0,0.0
5,5400.0,5547.0,3.8315948756423426,17,pictures\transformed\roomBright_figureDark\S.JPG,gamma,0.6784207169780678,sharpness,0.1499144839327446,None,None,2,18_S_gamma0.68_sharpness0.15.jpg,18,S,0.0,0.68,0.15,0.0,0.0
6,6900.0,7020.0,3.636891563238816,22,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.9637789059821202,contrast,0.9253903702535772,equalization,20.66886931853306,2,23_B_sharpness0.96_contrast0.93_equalization21.0.jpg,23,B,0.93,0.0,0.96,0.0,21.0
7,8400.0,8532.0,3.575109144750613,27,pictures\transformed\roomBright_figureDark\P.JPG,brightness,10.03236378159412,contrast,1.175643579697557,sharpness,0.3520498980618536,1,28_P_brightness10.0_contrast1.2_sharpness0.35.jpg,28,P,1.2,0.0,0.35,10.0,0.0
8,9600.0,9732.0,1.8583129760867523,31,pictures\transformed\roomBright_figureDark\S.JPG,gamma,0.7939541901905689,brightness,24.1557558500194,contrast,0.9375286597641053,1,32_S_gamma0.79_brightness24.0_contrast0.94.jpg,32,S,0.94,0.79,0.0,24.0,0.0
9,11700.0,11844.0,3.399575678452206,38,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.8964663034034721,sharpness,0.9177280311204964,equalization,14.65319633311862,2,39_0_gamma0.9_sharpness0.92_equalization15.0.jpg,39,0,0.0,0.9,0.92,0.0,15.0
