,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,300,154,3.5074794075183635,0,pictures\transformed\roomBright_figureDark\E.JPG,brightness,3.244651821427589,sharpness,0.805581835575005,contrast,1.188631524879493,2,1_E_brightness3.2_sharpness0.81_contrast1.2.jpg,1,E,1.2,0.0,0.81,3.2,0.0
1,3300,3478,3.2552824673747125,10,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.7152670351887903,contrast,1.133919516201442,equalization,8.877611267925197,0,11_7_gamma0.72_contrast1.1_equalization8.9.jpg,11,7,1.1,0.72,0.0,0.0,8.9
2,5100,5244,2.8638295435253918,16,pictures\transformed\roomBright_figureDark\Q.JPG,gamma,1.075955565850838,brightness,17.72281180267779,sharpness,0.9006478280501004,2,17_Q_gamma1.1_brightness18.0_sharpness0.9.jpg,17,Q,0.0,1.1,0.9,18.0,0.0
3,5700,5833,3.125319133581103,18,pictures\transformed\roomBright_figureDark\2.JPG,sharpness,0.2543903094747748,gamma,0.9962956167247664,equalization,8.779720826951241,0,19_2_sharpness0.25_gamma1.0_equalization8.8.jpg,19,2,0.0,1.0,0.25,0.0,8.8
4,7200,7336,2.977650451332691,23,pictures\transformed\roomBright_figureDark\8.JPG,gamma,1.01866981742211,sharpness,0.6086267934091425,equalization,14.66634094746755,0,24_8_gamma1.0_sharpness0.61_equalization15.0.jpg,24,8,0.0,1.0,0.61,0.0,15.0
5,7500,7645,3.0492007940842183,24,pictures\transformed\roomBright_figureDark\J.JPG,gamma,1.054912405355316,sharpness,0.8131197321662251,brightness,0.3385597219927039,2,25_J_gamma1.1_sharpness0.81_brightness0.34.jpg,25,J,0.0,1.1,0.81,0.34,0.0
6,8700,8826,3.1450748404267084,28,pictures\transformed\roomBright_figureDark\9.JPG,contrast,0.9933177038872048,gamma,0.8544883545612897,equalization,5.661000640690036,0,29_9_contrast0.99_gamma0.85_equalization5.7.jpg,29,9,0.99,0.85,0.0,0.0,5.7
7,9000,9142,3.1477938890752517,29,pictures\transformed\roomBright_figureDark\T.JPG,contrast,0.8468494786992087,sharpness,0.9610954934516754,equalization,16.86309008619175,2,30_T_contrast0.85_sharpness0.96_equalization17.0.jpg,30,T,0.85,0.0,0.96,0.0,17.0
8,9900,10044,2.629516898309848,32,pictures\transformed\roomBright_figureDark\7.JPG,brightness,11.76122235107189,contrast,0.9085741991067589,gamma,0.7793851868353484,2,33_7_brightness12.0_contrast0.91_gamma0.78.jpg,33,7,0.91,0.78,0.0,12.0,0.0
9,10200,10339,2.7883951701801095,33,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.943405168231533,gamma,0.9222358900147568,equalization,17.19782374839944,2,34_B_contrast0.94_gamma0.92_equalization17.0.jpg,34,B,0.94,0.92,0.0,0.0,17.0
10,13200,13343,2.505168654962943,43,pictures\transformed\roomBright_figureDark\P.JPG,brightness,2.566814630992477,gamma,0.5127126269723349,sharpness,0.5704245283976578,2,44_P_brightness2.6_gamma0.51_sharpness0.57.jpg,44,P,0.0,0.51,0.57,2.6,0.0
