,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,1500,1641,,4,pictures\transformed\roomBright_figureDark\9.JPG,sharpness,0.4369020743135764,equalization,9.521571560261004,None,None,0,5_9_sharpness0.44_equalization9.5.jpg,5,9,0.0,0.0,0.44,0.0,9.5
1,2700,2860,,8,pictures\transformed\roomBright_figureDark\I.JPG,sharpness,0.767807073286375,gamma,0.5278019041936787,equalization,14.86360399035003,1,9_I_sharpness0.77_gamma0.53_equalization15.0.jpg,9,I,0.0,0.53,0.77,0.0,15.0
2,3300,3456,,10,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.140912887391618,sharpness,0.4269811760684348,equalization,8.637300589368174,2,11_8_contrast1.1_sharpness0.43_equalization8.6.jpg,11,8,1.1,0.0,0.43,0.0,8.6
3,6600,6801,,21,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.123350819269536,gamma,0.743659275824527,sharpness,0.9242203945273398,0,22_8_contrast1.1_gamma0.74_sharpness0.92.jpg,22,8,1.1,0.74,0.92,0.0,0.0
4,8400,8523,,27,pictures\transformed\roomBright_figureDark\0.JPG,contrast,0.8496130104225355,sharpness,0.1820821126130017,equalization,8.669353626881763,0,28_0_contrast0.85_sharpness0.18_equalization8.7.jpg,28,0,0.85,0.0,0.18,0.0,8.7
5,8700,8845,,28,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.9135429631466234,contrast,0.9115757327832336,sharpness,0.3503055494799791,2,29_0_gamma0.91_contrast0.91_sharpness0.35.jpg,29,0,0.91,0.91,0.35,0.0,0.0
6,9900,10043,,32,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.149134443864601,gamma,0.7009955324947222,equalization,24.74795052763347,2,33_T_contrast1.1_gamma0.7_equalization25.0.jpg,33,T,1.1,0.7,0.0,0.0,25.0
7,10200,10340,,33,pictures\transformed\roomBright_figureDark\9.JPG,contrast,0.842099178664224,sharpness,0.2388515925163072,None,None,0,34_9_contrast0.84_sharpness0.24.jpg,34,9,0.84,0.0,0.24,0.0,0.0
8,12000,12204,,39,pictures\transformed\roomBright_figureDark\P.JPG,brightness,25.87416640690126,sharpness,0.0485123503554936,gamma,0.8957682920389393,1,40_P_brightness26.0_sharpness0.049_gamma0.9.jpg,40,P,0.0,0.9,0.049,26.0,0.0
9,13500,13655,,44,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.504693720671592,sharpness,0.0244437159378476,equalization,31.76768905172393,2,45_9_gamma0.5_sharpness0.024_equalization32.0.jpg,45,9,0.0,0.5,0.024,0.0,32.0
10,14100,14219,,46,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.7898166659103754,contrast,1.060547138604538,None,None,1,47_E_gamma0.79_contrast1.1.jpg,47,E,1.1,0.79,0.0,0.0,0.0
